CCID,mean_rostral,SD_rostral,mean_central,SD_central,mean_caudal,SD_caudal,SNR_rostral,SNR_central,SNR_caudal
110174,137.565228,4.205027,134.526918,3.330887,131.705966,3.563322,32.71446961,40.38771594,36.96156732
110187,145.299952,3.778386,142.701894,3.02565,141.518572,2.716464,38.45556065,47.16404541,52.09661236
110411,171.710493,3.060533,172.618088,4.618984,168.725637,4.673564,56.1047677,37.37144099,36.10213469
112141,190.763723,5.040291,193.222503,6.986755,192.509042,5.188962,37.84775978,27.65554295,37.09972091
120061,129.320303,3.68972,136.630778,4.486972,135.168156,4.084378,35.0488121,30.45055284,33.09393891
120065,131.667373,3.460858,133.546826,2.858071,133.451653,3.008567,38.04471984,46.72621009,44.35721491
120120,169.724145,4.417589,164.107292,5.582224,167.670287,3.885692,38.42008503,29.39819183,43.15068899
120182,272.209402,5.252302,277.56129,6.713216,280.889779,4.904827,51.82668514,41.34550266,57.26802984
121397,127.25033,4.502451,128.3536,3.359699,125.545284,3.012799,28.26245749,38.20389862,41.67064713
121411,156.82346,3.512651,162.488871,3.343402,157.83306,4.128143,44.64532913,48.59986056,38.23342844
121428,156.145479,2.268871,157.420839,2.926241,156.581339,2.940802,68.82078311,53.79626593,53.24443434
122620,165.393426,4.196414,162.625933,3.147408,161.200134,2.526517,39.41303837,51.66979718,63.80330471
210051,105.94948,2.982982,108.565446,3.61956,105.455486,2.853488,35.51797497,29.99410039,36.9566951
220203,163.474845,3.514548,159.773226,3.40473,158.81513,5.151016,46.5137608,46.92684178,30.83180677
220232,163.9597,2.44561,167.010799,3.025501,164.189916,2.710419,67.04245567,55.2010391,60.57731886
220419,198.152209,4.115943,199.297192,4.436634,197.324522,4.083292,48.1426028,44.92080979,48.3248619
220519,128.381134,3.319033,127.873793,2.600952,128.389111,3.186554,38.68028248,49.16422641,40.29089449
220535,141.445788,4.945738,137.148035,3.819291,135.028495,3.4366,28.59953115,35.9092918,39.29130391
220635,190.585661,5.461827,189.345497,6.039585,179.398409,4.110885,34.89412261,31.35074628,43.63985103
220697,150.69557,3.461019,148.902766,3.699845,145.81547,2.678156,43.5408098,40.24567678,54.44621971
220713,126.96544,2.216898,130.404901,3.61897,129.425276,4.807667,57.27166518,36.033706,26.92059912
220843,134.713935,4.067498,135.142709,4.190349,129.868794,4.115399,33.11960694,32.25094354,31.55679291
220901,130.279406,2.574199,131.812932,5.251519,126.991469,3.789343,50.60968713,25.09996289,33.51279338
220999,234.99924,7.196627,234.474957,5.449375,237.802609,8.306513,32.65408086,43.02786228,28.62845204
221040,152.493785,3.136817,151.933284,4.600945,153.659575,3.292352,48.6141796,33.02219088,46.67167271
221107,186.411382,2.274013,184.878284,2.849611,180.788397,4.048593,81.97463339,64.87842867,44.65462372
221220,170.974126,3.975072,173.41551,5.952216,169.094634,4.437629,43.01157966,29.13461306,38.10472529
221336,206.499314,4.883558,207.665793,8.857581,202.772501,8.13185,42.28460356,23.44497815,24.93559288
221511,128.112058,1.956976,128.253635,2.702701,126.035038,3.165333,65.46429696,47.45387485,39.81730769
221585,307.237853,5.011409,313.292326,5.162501,314.892547,7.362092,61.30767874,60.68615309,42.77215593
222185,156.775011,4.203171,158.042513,3.760765,159.691816,2.225678,37.29922266,42.02403314,71.74973918
222304,184.281549,3.315514,185.971507,3.206792,181.581072,3.382139,55.58159278,57.99300578,53.68823458
222496,187.864626,4.46707,191.549515,5.232452,189.202436,3.052223,42.05544708,36.60798322,61.98840517
222652,168.723261,3.199777,172.934643,5.110113,174.759896,5.035234,52.72969366,33.84164753,34.70740307
310463,182.04933,4.886858,183.564119,2.495408,177.875101,4.227876,37.25283812,73.56076401,42.0719768
320022,126.460248,2.089984,128.345109,2.481632,123.85034,2.788269,60.50775891,51.71802628,44.41836136
320202,129.699905,1.757984,131.865411,4.210822,128.526798,4.041728,73.77763677,31.31583596,31.79996229
320206,194.271152,3.681599,194.075608,4.789836,195.335375,3.336872,52.76814558,40.51821565,58.53846806
320218,135.655048,2.656776,135.384281,4.26611,131.982064,2.986977,51.06002463,31.73483126,44.18583203
320379,136.74284,2.591921,140.660334,5.547798,137.161891,4.017443,52.75733327,25.3542638,34.14158981
320429,176.323594,4.875415,180.420514,4.991508,174.175443,3.809182,36.16586362,36.1454923,45.72515648
320478,124.377449,2.877895,126.952945,4.190826,121.511443,2.593286,43.21820254,30.29306037,46.85616743
320576,137.781922,3.682229,144.372938,3.783207,141.705726,3.441287,37.4180753,38.16152222,41.17811912
320608,170.76919,3.206485,169.237333,2.871979,164.208607,4.249984,53.25744234,58.92707885,38.63746475
320687,116.213994,2.186426,117.688793,2.864027,115.513545,5.403952,53.15249361,41.09206827,21.37575334
320759,117.429476,2.902102,116.946811,2.600362,115.308646,2.035374,40.46359363,44.97328103,56.65231353
320870,151.649871,3.698823,152.677969,4.000008,146.276342,2.65103,40.99949389,38.16941591,55.1771734
320904,191.348557,4.556232,197.59051,5.732388,195.617757,5.3198,41.99710572,34.46914445,36.77163747
321025,133.324266,3.432351,139.387621,4.942443,135.436576,4.11111,38.84342423,28.20217067,32.9440409
321069,164.298707,4.495285,164.740001,5.273677,166.519097,4.613455,36.54911913,31.23816665,36.09422808
321203,177.235657,3.491609,176.516129,4.621521,176.81422,3.616798,50.7604537,38.19437995,48.88694917
321281,153.024375,3.324871,155.609329,3.744232,148.292686,3.549394,46.02415402,41.5597455,41.77971958
